ImageNumber,ObjectNumber,Metadata_FileLocation,Metadata_Frame,Metadata_Series,Metadata_assay,Metadata_genotype,Metadata_minutes,Metadata_wellNum,Metadata_wellNum,Math_area_micronsq,TrackObjects_Label_10
1,1,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--00min.tif,0,0,control,mutant,00,001,001,8867.25,1.0
1,2,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--00min.tif,0,0,control,mutant,00,001,001,32393.25,2.0
1,3,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--00min.tif,0,0,control,mutant,00,001,001,25377.75,3.0
1,4,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--00min.tif,0,0,control,mutant,00,001,001,12606.75,4.0
1,5,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--00min.tif,0,0,control,mutant,00,001,001,22189.5,5.0
1,6,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--00min.tif,0,0,control,mutant,00,001,001,12235.5,6.0
1,7,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--00min.tif,0,0,control,mutant,00,001,001,9047.25,7.0
1,8,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--00min.tif,0,0,control,mutant,00,001,001,21942.0,8.0
1,9,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--00min.tif,0,0,control,mutant,00,001,001,2994.75,9.0
2,1,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--05min.tif,0,0,control,mutant,05,001,001,8232.75,1.0
2,2,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--05min.tif,0,0,control,mutant,05,001,001,32602.5,2.0
2,3,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--05min.tif,0,0,control,mutant,05,001,001,25746.75,3.0
2,4,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--05min.tif,0,0,control,mutant,05,001,001,12872.25,4.0
2,5,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--05min.tif,0,0,control,mutant,05,001,001,22500.0,5.0
2,6,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--05min.tif,0,0,control,mutant,05,001,001,12267.0,6.0
2,7,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--05min.tif,0,0,control,mutant,05,001,001,9258.75,7.0
2,8,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--05min.tif,0,0,control,mutant,05,001,001,22432.5,8.0
2,9,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--05min.tif,0,0,control,mutant,05,001,001,3051.0,9.0
2,10,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--05min.tif,0,0,control,mutant,05,001,001,864.0,nan
3,1,file:///D:/Hugo/data/SPAOM2019-ws2-bioimage-analysis-oss/images/W001--mutant--control/W001--mutant--control--10min.tif,0,0,control,mutant,10,001,001,7987.5,1.0
